Название вакансии,Название компании,Зарплата,Ссылка на вакансию
Разработчик сайтов,"Компания Водяной,ООО",до 100 000 ₽ на руки,https://tomsk.hh.ru/vacancy/105768940?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Инженер-программист в Лабораторию искусственного интеллекта в промышленности,Национальный исследовательский Томский политехнический университет,от 90 000 ₽ на руки,https://tomsk.hh.ru/vacancy/106180283?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Старший программист 1С,2droida,2droida,https://tomsk.hh.ru/vacancy/106183970?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
"Инженер-технолог, инженер-программист",ООО ИЦ ДС,70 000 – 85 000 ₽ на руки,https://tomsk.hh.ru/vacancy/105960408?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С (ERP),АйСи Инвест,АйСи Инвест,https://tomsk.hh.ru/vacancy/106964653?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Middle PHP fullstack разработчик,BlaBlaCar,BlaBlaCar,https://tomsk.hh.ru/vacancy/106596069?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист PHP Middle - Laravel,ООО Ворлдран,от 90 000 ₽ на руки,https://tomsk.hh.ru/vacancy/106962349?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Инженер-программист,Томский Областной Институт Повышения Квалификации и Переподготовки Кадров Работников Образования,37 000 – 40 000 ₽ на руки,https://tomsk.hh.ru/vacancy/106905118?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
1С программист,ООО Центр Семейной Медицины,от 80 000 ₽ на руки,https://tomsk.hh.ru/vacancy/106892076?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Стажер frontend-разработчик,ООО Спутник,ООО Спутник,https://tomsk.hh.ru/vacancy/100041491?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Разработчик С/С++,АО ИнфоТеКС,АО ИнфоТеКС,https://tomsk.hh.ru/vacancy/107033215?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Android разработчик,ООО Первая Свободная Платформа Легальной Музыки,ООО Первая Свободная Платформа Легальной Музыки,https://tomsk.hh.ru/vacancy/106781950?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Erlang разработчик,UserGate,UserGate,https://tomsk.hh.ru/vacancy/95684202?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
